Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
412.044,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
418.546,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
420.875,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
432.047,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell escape,Escape,,,POINT
432.294,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
441.797,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Elo,Presence,,,STOP
444.550,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
450.946,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
465.041,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
469.422,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
474.545,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
490.040,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell escape,Escape,,,POINT
490.120,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,START
492.420,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
495.400,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell escape,Escape,,,POINT
495.400,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell escape,Escape,,,POINT
495.421,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
495.440,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,START
495.440,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,START
495.440,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell escape,Escape,,,POINT
495.480,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,START
505.169,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,male_1,shell,Presence,,,STOP
514.672,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
519.670,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
533.170,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
571.672,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
576.228,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,START
594.910,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,START
597.674,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,,presence of Cun,Presence,,,STOP
600.000,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,female_2,shell,Presence,,,STOP
600.000,D:/tanganyika/data_standardized/2018-10-29_34_-+4_M_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
