Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Modifier 1,Comment,Status
554.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group male,,POINT
558.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
569.170,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
569.670,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,shooting out,Restrained aggression,presentation fish,,POINT
569.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
569.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
573.170,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,tail beat,Restrained aggression,group female,,POINT
573.920,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,shooting out,Restrained aggression,presentation fish,,POINT
574.170,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,operculum spread,Restrained aggression,presentation fish,,POINT
577.669,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
577.669,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
578.170,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
580.169,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,male_1,biting,Overt aggression,group female,,POINT
582.419,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,S-bend,Restrained aggression,presentation fish,,POINT
582.419,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_2,operculum spread,Restrained aggression,presentation fish,,POINT
583.420,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,S-bend,Restrained aggression,group female,,POINT
590.422,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,female_1,shell,Presence,,,STOP
595.419,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell escape,Escape,,,POINT
595.420,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,START
600.000,D:/tanganyika/data_standardized/2018-10-30_34_-4_F_standardized.MP4,600.650,25.0,presentation fish,shell,Presence,,,STOP
